n_sims,p50,p90,std,p50_shift_vs_previous
1000,943.0744251633412,1126.127792867369,134.9188865338155,
5000,946.0896858698293,1130.532873527694,132.97260229693464,3.0152607064881067
10000,949.8442974841089,1131.042786790441,131.97346204753936,3.754611614279611
50000,947.2539035494938,1130.6724738129824,131.50963967210507,2.590393934615122
100000,948.1921964876506,1131.5130606402124,131.4143724901847,0.9382929381567919
250000,947.1831130131379,1133.4387962935361,131.8438912953371,1.0090834745126358
