input,rho_squared,share_of_explained_variance
occupancy,0.5340832555940903,0.5564492167296157
pcc_l_per_head_per_day,0.3753119695747865,0.3910290189997302
leakage_fraction,0.045197187488751144,0.04708992336507815
meter_factor,0.005213513088884169,0.005431840905576024
